,reaction_expression
MAR03905,145.17004243999997
MAR03907,39.05520304
MAR04097,18.94772695
MAR04099,14.50658523
MAR04108,18.94772695
MAR04133,18.94772695
MAR04281,53.77305663
MAR04388,150.88538258
MAR04283,73.1312274
MAR08357,87.01895251799999
MAR04379,40.10493214
MAR04301,40.10493214
MAR04355,76.96552216
MAR04358,31.364162640000004
MAR04360,-1.0
MAR04363,81.81459767
MAR04365,157.80386695
MAR04368,80.96036067
MAR04370,102.54641256000001
MAR04371,157.80386695
MAR04372,102.54641256000001
MAR04373,66.71178939
MAR04375,100.21887248
MAR04377,76.46904867
MAR04381,14.22112143
MAR04391,33.5771933
MAR04394,89.62852192
MAR04396,41.837613
MAR04521,43.93346588
MAR06412,6.277623757
MAR07745,19.81823899
MAR07747,13.58244667
MAR08360,31.96207534
MAR08652,43.93346588
MAR08757,7.060418963
MAR03989,42.018183115999996
MAR04122,21.30771871
MAR04837,21.87745452
MAR05395,28.95433955
MAR05396,61.82222856
MAR09727,77.89347104
MAR05397,23.2082179
MAR05398,52.30171874
MAR05399,6.705361377
MAR05400,6.705361377
MAR05401,52.30171874
MAR08568,166.85273460000002
MAR08569,166.85273460000002
MAR08570,166.85273460000002
MAR08571,166.85273460000002
MAR08572,166.85273460000002
MAR08573,166.85273460000002
MAR08574,166.85273460000002
MAR08575,166.85273460000002
MAR08576,166.85273460000002
MAR08577,166.85273460000002
MAR08578,166.85273460000002
MAR08579,166.85273460000002
MAR08581,166.85273460000002
MAR08591,17.074251787999998
MAR08592,18.72776013
MAR08580,166.85273460000002
MAR08582,166.85273460000002
MAR08587,17.074251787999998
MAR08589,18.72776013
MAR08583,7.373123322
MAR08584,8.395429969
MAR08585,7.143989882
MAR03944,14.03046381
MAR04128,22.23382643
MAR04130,59.23483795
MAR04131,26.19948117
MAR04132,26.19948117
MAR04303,44.197441887
MAR04414,73.69714133
MAR04415,8.079550279
MAR04416,53.00702266
MAR04774,40.10493214
MAR04775,40.10493214
MAR04831,-1.0
MAR04832,8.079550279
MAR07674,82.33244195
MAR08761,20.6107159
MAR08762,100.21887248
MAR08764,8.079550279
MAR08766,60.50840493
MAR08767,26.19948117
MAR00454,-1.0
MAR04297,63.071866365
MAR04310,20.6107159
MAR04315,6.030633811
MAR04316,60.50840493
MAR04317,84.840630223
MAR04318,84.840630223
MAR04319,56.85975092
MAR04320,84.840630223
MAR04356,100.21887248
MAR04383,11.70999154
MAR04385,43.629277762
MAR04386,16.527872792
MAR04387,5.832841502
MAR04399,34.93695495
MAR04400,-1.0
MAR04401,15.22520896
MAR04402,-1.0
MAR04403,-1.0
MAR04490,56.85975092
MAR04706,63.071866365
MAR08768,-1.0
MAR04590,44.26871507
MAR04591,52.701867899999996
MAR04592,60.50840493
MAR04593,6.030633811
MAR04594,41.48549699
MAR04595,12.22023161
MAR08341,90.84186012
MAR08342,-1.0
MAR08344,39.05520304
MAR08352,23.69579488
MAR08353,-1.0
MAR08726,21.80777706
MAR08727,7.514925735
MAR08728,-1.0
MAR08729,17.91811769
MAR06537,39.05520304
MAR01568,73.1312274
MAR03853,47.033275180000004
MAR03854,60.50840493
MAR03855,60.50840493
MAR03857,55.98971058
MAR03859,41.50077494
MAR04087,7.527711966
MAR04089,42.123693180000004
MAR04091,7.527711966
MAR04093,23.20103319
MAR04095,23.20103319
MAR04101,9.662285567
MAR04103,18.95197686
MAR04143,13.70337683
MAR04193,31.364162640000004
MAR08497,90.84186012
MAR08498,7.060418963
MAR08499,7.060418963
MAR08500,90.84186012
MAR08501,9.291351479
MAR08502,145.17004243999997
MAR08503,129.82517174999998
MAR08504,87.01895251799999
MAR08506,87.01895251799999
MAR08507,145.17004243999997
MAR08508,145.17004243999997
MAR08509,90.84186012
MAR08511,55.98971058
MAR08512,29.28816295
MAR08514,41.50077494
MAR08516,36.22349115
MAR08517,-1.0
MAR04280,57.32060622
MAR00153,33.45431218
MAR03212,139.026677085
MAR03797,33.45431218
MAR03800,8.07784684
MAR04105,2.854497351
MAR04106,2.854497351
MAR04107,2.854497351
MAR04282,9.171709251
MAR04331,33.45431218
MAR04459,33.45431218
MAR04460,33.45431218
MAR04464,-1.0
MAR04497,9.799666602
MAR04741,19.84747003
MAR08078,-1.0
MAR09803,-1.0
MAR09804,712.516365499
MAR00718,8.52881397
MAR00719,19.74287978
MAR01434,40.81428152
MAR01436,8.414891172
MAR03163,139.026677085
MAR04461,27.928854619
MAR04604,10.49645421
MAR05351,124.91244882000001
MAR07709,6.474304087
MAR04052,110.31282282000001
MAR04304,22.48764524
MAR04350,21.80777706
MAR04351,38.22605539
MAR04352,38.22605539
MAR04354,16.68539237
MAR04398,46.87500804
MAR04404,51.613419469
MAR04473,22.44871349
MAR04474,22.44871349
MAR04476,37.15832996
MAR04477,21.50351736
MAR04501,51.613419469
MAR04565,46.09518521
MAR04567,40.10493214
MAR09799,16.72901284
MAR09800,20.6107159
MAR04623,7.393275074
MAR04625,25.39640838
MAR04710,16.68539237
MAR04841,73.1312274
MAR08074,21.80777706
MAR08653,32.789683454
MAR03998,129.353259367
