ID,Flux
MAR12468,1.0
MAR12470,1.0
temporary_exchange_MAM02039r_f,0.0
temporary_exchange_MAM02039r_r,0.0
temporary_exchange_MAM03402e,1.0
temporary_exchange_MAM01371c,1.0
temporary_exchange_MAM02040c,1.0
temporary_exchange_MAM02682c,1.0
temporary_exchange_MAM03109r,0.0
temporary_exchange_MAM02555r,0.0
temporary_exchange_MAM02630r,0.0
temporary_exchange_MAM02026r,0.0
temporary_exchange_MAM10001r,0.0
temporary_exchange_MAM01285c,1.0
temporary_exchange_MAM02039c,2.0
temporary_exchange_MAM02751c,1.0
temporary_exchange_MAM02681c,1.0
temporary_exchange_MAM03958c,1.0
temporary_exchange_MAM03403c,0.0
temporary_exchange_MAM03106r,0.0
temporary_exchange_MAM02040r,0.0
temporary_exchange_MAM02554r,0.0
temporary_exchange_MAM03759c,0.0
temporary_exchange_MAM02026c,0.0
