,sample_1,sample_2
MAR03905,145.17004243999997,158.054121173
MAR03907,39.05520304,30.18960672
MAR04097,18.94772695,18.2685528
MAR04099,14.50658523,12.441768882
MAR04108,18.94772695,18.2685528
MAR04133,18.94772695,18.2685528
MAR04281_f,53.77305663,44.21714935999999
MAR04388_f,150.88538258,155.87636931999998
MAR04283,73.1312274,76.64645313999999
MAR08357,87.01895251799999,72.911976497
MAR04379,40.10493214,49.231413159999995
MAR04301,40.10493214,49.231413159999995
MAR04355,76.96552216,75.76813136000001
MAR04358,31.364162640000004,20.200002103
MAR04360,-1.0,-1.0
MAR04363_f,81.81459767,41.29293421
MAR04365_f,157.80386695,130.68350511
MAR04368_f,80.96036067,68.65247979
MAR04370,102.54641256000001,114.78114463
MAR04371,157.80386695,130.68350511
MAR04372,102.54641256000001,114.78114463
MAR04373_f,66.71178939,61.29498699
MAR04375_f,100.21887248,85.14724918000002
MAR04377,76.46904867,75.51311067
MAR04381_f,14.22112143,13.48096053
MAR04391_f,33.5771933,36.54168888
MAR04394,89.62852192,62.98058126
MAR04396_f,41.837613,54.860038040000006
MAR04521,43.93346588,53.17619804
MAR06412,6.277623757,5.187417902
MAR07745_f,19.81823899,14.30268272
MAR07747,13.58244667,11.28579403
MAR08360,31.96207534,29.67267373
MAR08652,43.93346588,53.17619804
MAR08757,7.060418963,8.778521117
MAR03989,42.018183115999996,29.981205719000002
MAR04122,21.30771871,17.69027151
MAR04837,21.87745452,23.45318281
MAR05395,28.95433955,29.45797727
MAR05396,61.82222856,62.156745029999996
MAR09727,77.89347104,100.65170914000001
MAR05397,23.2082179,21.12568699
MAR05398,52.30171874,43.043094148
MAR05399,6.705361377,4.016380909
MAR05400,6.705361377,4.016380909
MAR05401,52.30171874,43.043094148
MAR08568,166.85273460000002,117.55777529000001
MAR08569,166.85273460000002,117.55777529000001
MAR08570,166.85273460000002,117.55777529000001
MAR08571,166.85273460000002,117.55777529000001
MAR08572,166.85273460000002,117.55777529000001
MAR08573,166.85273460000002,117.55777529000001
MAR08574,166.85273460000002,117.55777529000001
MAR08575,166.85273460000002,117.55777529000001
MAR08576,166.85273460000002,117.55777529000001
MAR08577,166.85273460000002,117.55777529000001
MAR08578,166.85273460000002,117.55777529000001
MAR08579,166.85273460000002,117.55777529000001
MAR08581,166.85273460000002,117.55777529000001
MAR08591,17.074251787999998,11.163076696000001
MAR08592,18.72776013,16.39745676
MAR08580,166.85273460000002,117.55777529000001
MAR08582,166.85273460000002,117.55777529000001
MAR08587,17.074251787999998,11.163076696000001
MAR08589,18.72776013,16.39745676
MAR08583,7.373123322,4.131016259
MAR08584,8.395429969,6.898391226
MAR08585,7.143989882,7.857727269
MAR03944,14.03046381,7.125042406
MAR04128_f,22.23382643,19.57417574
MAR04130,59.23483795,47.348659160000004
MAR04131_f,26.19948117,26.02028344
MAR04132,26.19948117,26.02028344
MAR04303,44.197441887,34.458924682
MAR04414,73.69714133,59.887417770000006
MAR04415,8.079550279,5.985516623
MAR04416,53.00702266,41.241252413
MAR04774_f,40.10493214,49.231413159999995
MAR04775_f,40.10493214,49.231413159999995
MAR04831_f,-1.0,-1.0
MAR04832_f,8.079550279,5.985516623
MAR07674,82.33244195,101.70991824000001
MAR08761,20.6107159,13.89444181
MAR08762_f,100.21887248,85.14724918000002
MAR08764,8.079550279,5.985516623
MAR08766_f,60.50840493,46.79518811
MAR08767,26.19948117,26.02028344
MAR00454,-1.0,-1.0
MAR04297,63.071866365,63.90451544999999
MAR04310,20.6107159,13.89444181
MAR04315_f,6.030633811,6.421985847
MAR04316_f,60.50840493,46.79518811
MAR04317,84.840630223,89.789998011
MAR04318,84.840630223,89.789998011
MAR04319,56.85975092,39.825787309999996
MAR04320,84.840630223,89.789998011
MAR04356,100.21887248,85.14724918000002
MAR04383_f,11.70999154,11.55293295
MAR04385,43.629277762,58.739785710999996
MAR04386,16.527872792,22.585778396
MAR04387,5.832841502,6.535452596
MAR04399,34.93695495,36.8098157
MAR04400,-1.0,-1.0
MAR04401,15.22520896,11.82601013
MAR04402_f,-1.0,-1.0
MAR04403,-1.0,-1.0
MAR04490,56.85975092,39.825787309999996
MAR04706,63.071866365,63.90451544999999
MAR08768,-1.0,-1.0
MAR04590,44.26871507,47.6638708
MAR04591,52.701867899999996,58.05477669
MAR04592_f,60.50840493,46.79518811
MAR04593,6.030633811,6.421985847
MAR04594,41.48549699,61.71183702
MAR04595_f,12.22023161,7.091993146
MAR08341,90.84186012,72.93138989
MAR08342_f,-1.0,-1.0
MAR08344_f,39.05520304,30.18960672
MAR08352_f,23.69579488,27.55092141
MAR08353_f,-1.0,-1.0
MAR08726,21.80777706,23.4824695
MAR08727,7.514925735,14.2189577
MAR08728,-1.0,-1.0
MAR08729,17.91811769,14.62013558
MAR06537_f,39.05520304,30.18960672
MAR01568,73.1312274,76.64645313999999
MAR03853,47.033275180000004,41.503615159999995
MAR03854,60.50840493,46.79518811
