,reaction_expression
MAR03905,327.50346977999993
MAR03907,55.19928831
MAR04097,45.54666551
MAR04099,67.33100003
MAR04108,45.54666551
MAR04133,45.54666551
MAR04281,79.51545832
MAR04388,256.11098366000004
MAR04283,181.13173059999997
MAR08357,266.8449112
MAR04379,125.85332242999999
MAR04301,125.85332242999999
MAR04355,124.32367181000001
MAR04358,69.94195537
MAR04360,33.81055309
MAR04363,135.98066437
MAR04365,180.26141214999998
MAR04368,148.87720138999998
MAR04370,88.3557839
MAR04371,180.26141214999998
MAR04372,88.3557839
MAR04373,90.09114614
MAR04375,165.04402591000002
MAR04377,76.93087624
MAR04381,50.79494949
MAR04391,44.38624091
MAR04394,241.39468989
MAR04396,96.71084101
MAR04521,98.13499848000001
MAR06412,23.10299883
MAR07745,36.39513515
MAR07747,46.46973054
MAR08360,52.19273366
MAR08652,98.13499848000001
MAR08757,39.21707678
MAR03989,177.28123079
MAR04122,46.1532511
MAR04837,46.97082297
MAR05395,101.22067297
MAR05396,183.13610035
MAR09727,191.23269926
MAR05397,49.74001803
MAR05398,128.33241135
MAR05399,37.47643989
MAR05400,37.47643989
MAR05401,128.33241135
MAR08568,192.129391
MAR08569,192.129391
MAR08570,192.129391
MAR08571,192.129391
MAR08572,192.129391
MAR08573,192.129391
MAR08574,192.129391
MAR08575,192.129391
MAR08576,192.129391
MAR08577,192.129391
MAR08578,192.129391
MAR08579,192.129391
MAR08581,192.129391
MAR08591,93.22956722
MAR08592,54.19710343
MAR08580,192.129391
MAR08582,192.129391
MAR08587,93.22956722
MAR08589,54.19710343
MAR08583,49.29167217
MAR08584,40.95771368
MAR08585,50.7685762
MAR03944,51.24329535
MAR04128,34.04791267
MAR04130,110.74142935
MAR04131,50.47847006
MAR04132,50.47847006
MAR04303,188.38438433
MAR04414,143.76078385
MAR04415,39.32256993
MAR04416,116.51717904
MAR04774,125.85332242999999
MAR04775,125.85332242999999
MAR04831,-1.0
MAR04832,39.32256993
MAR07674,160.74518024
MAR08761,38.39950492
MAR08762,165.04402591000002
MAR08764,43.01483002
MAR08766,86.60987234
MAR08767,50.47847006
MAR00454,-1.0
MAR04297,177.20211092
MAR04310,38.39950492
MAR04315,38.2412652
MAR04316,86.60987234
MAR04317,221.48285869
MAR04318,221.48285869
MAR04319,168.02420728
MAR04320,221.48285869
MAR04356,165.04402591000002
MAR04383,51.61252137
MAR04385,123.13687393
MAR04386,76.16605096
MAR04387,23.68321114
MAR04399,36.39513515
MAR04400,-1.0
